"student_id","date","program","location","score_reading","score_writing","score_mathNoCalc","score_mathCalc"
900705,2023-08-15,"intake","center",645,36,338,670
900705,2023-10-04,"skills","center",651,37,350,696
900709,2023-08-15,"intake","center",531,65,613,533
900709,2023-09-30,"skills","center",550,69,654,558
900712,2023-08-15,"intake","center",634,30,394,209
900712,2023-09-28,"skills","center",656,32,422,221
900714,2023-08-15,"intake","center",800,55,637,579
900731,2023-08-15,"intake","center",487,31,543,730
900731,2023-10-07,"skills","center",501,32,557,755
900732,2023-08-15,"intake","center",444,93,309,629
900732,2023-09-27,"skills","center",446,93,312,622
900743,2023-08-15,"intake","center",422,51,383,440
900743,2023-10-03,"skills","center",431,52,418,483
900746,2023-08-15,"intake","center",556,52,309,592
900746,2023-10-04,"skills","center",575,54,339,653
900755,2023-08-15,"intake","center",623,47,490,635
900755,2023-09-30,"skills","center",641,47,504,650
900760,2023-08-15,"intake","center",716,38,681,753
900760,2023-10-02,"skills","center",758,40,726,791
900762,2023-08-15,"intake","center",593,49,507,408
900762,2023-10-01,"skills","center",602,50,516,415
900763,2023-08-15,"intake","center",737,38,540,617
900763,2023-10-03,"skills","center",763,40,573,661
900764,2023-08-15,"intake","center",396,83,621,750
900770,2023-08-15,"intake","center",685,46,624,760
900782,2023-08-15,"intake","center",747,58,308,623
900782,2023-10-05,"skills","center",769,62,328,659
900784,2023-08-15,"intake","center",584,54,450,751
900784,2023-10-07,"skills","center",585,55,456,764
900787,2023-08-15,"intake","center",699,33,647,606
900787,2023-10-01,"skills","center",715,34,705,667
900792,2023-08-15,"intake","center",757,55,490,288
900792,2023-10-03,"skills","center",776,56,501,291
900801,2023-08-15,"intake","center",490,52,455,554
900801,2023-09-30,"skills","center",514,54,476,592
900809,2023-08-15,"intake","center",721,47,504,555
900809,2023-10-02,"skills","center",739,47,517,582
900811,2023-08-15,"intake","center",388,59,502,399
900811,2023-09-30,"skills","center",396,61,515,415
900817,2023-08-15,"intake","center",591,25,250,413
900817,2023-10-04,"skills","center",610,26,266,440
900819,2023-08-15,"intake","center",547,25,589,553
900819,2023-09-30,"skills","center",560,26,645,606
900841,2023-08-15,"intake","center",412,20,493,534
900841,2023-09-29,"skills","center",434,21,531,572
900847,2023-08-15,"intake","center",647,27,373,481
900847,2023-09-26,"skills","center",663,28,406,530
900854,2023-08-15,"intake","center",623,39,635,507
900854,2023-10-03,"skills","center",652,41,683,539
900856,2023-08-15,"intake","center",569,62,415,397
900856,2023-10-02,"skills","center",581,63,417,404
900861,2023-08-15,"intake","center",577,64,210,413
900861,2023-10-01,"skills","center",603,68,224,433
900870,2023-08-15,"intake","center",451,56,577,532
900870,2023-09-27,"skills","center",460,58,595,537
900880,2023-08-15,"intake","center",628,42,550,626
900880,2023-09-24,"skills","center",643,43,593,685
900883,2023-08-15,"intake","center",763,52,618,521
900883,2023-09-30,"skills","center",778,53,679,573
900884,2023-08-15,"intake","center",657,48,280,336
900884,2023-10-06,"skills","center",695,51,301,356
900891,2023-08-15,"intake","center",493,46,576,345
900891,2023-09-28,"skills","center",505,47,636,372
900898,2023-08-15,"intake","center",571,42,210,571
900898,2023-10-03,"skills","center",584,44,227,607
900904,2023-08-15,"intake","center",565,76,426,603
900904,2023-09-28,"skills","center",582,80,452,640
900914,2023-08-15,"intake","center",775,45,644,252
900916,2023-08-15,"intake","center",760,49,471,617
900916,2023-09-29,"skills","center",757,49,477,629
900918,2023-08-15,"intake","center",645,44,469,450
900918,2023-10-01,"skills","center",670,46,498,474
900921,2023-08-15,"intake","center",518,51,652,527
900921,2023-09-30,"skills","center",541,54,700,559
900947,2023-08-15,"intake","center",604,63,378,547
900947,2023-10-02,"skills","center",615,64,388,553
900948,2023-08-15,"intake","center",574,26,463,465
900948,2023-10-03,"skills","center",575,26,480,476
900951,2023-08-15,"intake","center",666,46,738,598
900951,2023-10-01,"skills","center",664,46,746,616
900952,2023-08-15,"intake","center",539,46,464,441
900952,2023-10-06,"skills","center",572,48,502,470
900953,2023-08-15,"intake","center",659,69,606,587
900953,2023-10-04,"skills","center",675,72,664,636
900958,2023-08-15,"intake","center",584,35,314,518
900958,2023-09-28,"skills","center",600,36,346,572
900974,2023-08-15,"intake","center",651,43,385,709
900974,2023-10-07,"skills","center",676,44,394,729
900976,2023-08-15,"intake","center",608,39,438,683
900976,2023-10-04,"skills","center",612,39,454,705
900977,2023-08-15,"intake","center",650,66,579,305
900977,2023-10-04,"skills","center",637,67,585,310
900980,2023-08-15,"intake","center",642,66,373,635
900980,2023-10-05,"skills","center",684,69,396,681
900982,2023-08-15,"intake","center",588,57,491,740
900982,2023-10-01,"skills","center",594,57,507,760
900984,2023-08-15,"intake","center",653,75,399,493
900984,2023-10-08,"skills","center",651,74,412,501
900987,2023-08-15,"intake","center",689,33,705,662
900987,2023-09-28,"skills","center",697,33,726,680
900990,2023-08-15,"intake","center",639,36,450,531
900990,2023-10-02,"skills","center",648,37,462,547
901025,2023-08-15,"intake","center",485,29,451,577
901025,2023-09-29,"skills","center",497,29,461,586
901027,2023-08-15,"intake","center",564,70,343,571
901027,2023-10-06,"skills","center",571,72,355,587
901029,2023-08-15,"intake","center",764,78,409,552
901029,2023-10-01,"skills","center",762,77,413,553
901037,2023-08-15,"intake","center",545,10,700,596
901037,2023-10-01,"skills","center",574,10,764,632
901040,2023-08-15,"intake","center",415,32,454,626
901040,2023-10-04,"skills","center",422,33,465,637
901041,2023-08-15,"intake","center",641,52,382,607
901041,2023-09-30,"skills","center",658,54,421,673
901043,2023-08-15,"intake","center",671,53,336,508
901043,2023-10-02,"skills","center",697,54,362,550
901045,2023-08-15,"intake","center",551,67,472,566
901045,2023-09-28,"skills","center",568,69,513,626
901046,2023-08-15,"intake","center",786,27,478,411
901048,2023-08-15,"intake","center",644,55,688,662
901048,2023-10-03,"skills","center",657,57,716,674
901053,2023-08-15,"intake","center",560,56,652,601
901053,2023-09-29,"skills","center",570,56,677,605
901060,2023-08-15,"intake","center",490,32,432,771
901067,2023-08-15,"intake","center",548,72,582,574
901067,2023-10-03,"skills","center",574,76,614,618
901072,2023-08-15,"intake","center",637,60,628,523
901072,2023-10-04,"skills","center",627,61,631,532
901074,2023-08-15,"intake","center",725,27,348,574
901074,2023-10-07,"skills","center",763,28,372,607
901092,2023-08-15,"intake","center",398,14,549,531
901092,2023-09-26,"skills","center",409,15,601,574
901101,2023-08-15,"intake","center",616,66,592,661
901101,2023-10-05,"skills","center",614,68,600,661
901105,2023-08-15,"intake","center",786,69,789,425
901106,2023-08-15,"intake","center",672,33,360,721
901106,2023-09-25,"skills","center",677,33,367,732
901109,2023-08-15,"intake","center",634,56,410,477
901109,2023-10-02,"skills","center",647,59,444,517
901113,2023-08-15,"intake","center",650,53,699,500
901113,2023-10-03,"skills","center",676,54,740,538
901118,2023-08-15,"intake","center",422,38,551,376
901118,2023-09-28,"skills","center",425,39,600,414
901120,2023-08-15,"intake","center",754,58,457,566
901120,2023-10-05,"skills","center",749,59,468,569
901121,2023-08-15,"intake","center",651,45,402,546
901121,2023-09-30,"skills","center",671,45,439,596
901127,2023-08-15,"intake","center",650,34,316,588
901127,2023-10-01,"skills","center",648,34,324,602
901141,2023-08-15,"intake","center",688,50,483,526
901141,2023-10-01,"skills","center",683,51,489,535
901151,2023-08-15,"intake","center",676,14,721,756
901151,2023-10-01,"skills","center",692,15,758,788
901155,2023-08-15,"intake","center",451,42,766,308
901155,2023-10-02,"skills","center",439,44,798,313
901171,2023-08-15,"intake","center",641,56,679,454
901171,2023-10-03,"skills","center",659,58,698,463
901173,2023-08-15,"intake","center",374,48,399,733
901173,2023-09-27,"skills","center",371,49,424,757
901179,2023-08-15,"intake","center",606,36,474,446
901179,2023-10-02,"skills","center",632,37,506,469
901183,2023-08-15,"intake","center",637,67,504,530
901183,2023-09-30,"skills","center",637,69,518,541
901189,2023-08-15,"intake","center",545,30,516,100
901189,2023-09-29,"skills","center",561,31,554,105
901192,2023-08-15,"intake","center",536,78,306,499
901192,2023-09-30,"skills","center",550,81,337,546
901194,2023-08-15,"intake","center",673,40,393,527
901194,2023-09-30,"skills","center",695,40,431,577
901197,2023-08-15,"intake","center",745,54,428,763
901197,2023-09-26,"skills","center",736,54,430,768
901201,2023-08-15,"intake","center",401,41,442,558
901201,2023-09-30,"skills","center",403,41,447,569
901211,2023-08-15,"intake","center",558,32,661,670
901211,2023-10-03,"skills","center",578,33,671,694
901222,2023-08-15,"intake","center",446,44,461,290
901222,2023-10-03,"skills","center",446,45,473,296
901243,2023-08-15,"intake","center",679,33,464,578
901243,2023-09-30,"skills","center",663,33,482,578
901250,2023-08-15,"intake","center",619,55,401,325
901250,2023-10-05,"skills","center",650,58,424,344
901252,2023-08-15,"intake","center",649,22,562,649
901252,2023-09-29,"skills","center",649,23,575,655
901254,2023-08-15,"intake","center",578,50,613,533
901254,2023-09-28,"skills","center",575,50,640,545
901259,2023-08-15,"intake","center",580,69,373,496
901259,2023-10-04,"skills","center",587,70,391,501
901261,2023-08-15,"intake","center",715,52,620,555
901261,2023-10-03,"skills","center",744,54,687,612
901319,2023-08-15,"intake","center",764,34,571,556
901319,2023-09-30,"skills","center",759,33,578,561
901323,2023-08-15,"intake","center",567,54,277,502
901323,2023-10-03,"skills","center",584,55,303,557
901331,2023-08-15,"intake","center",736,65,419,488
901331,2023-10-01,"skills","center",748,65,436,503
901337,2023-08-15,"intake","center",552,63,470,537
901337,2023-09-28,"skills","center",578,65,494,576
901340,2023-08-15,"intake","center",566,77,440,473
901340,2023-10-06,"skills","center",585,80,486,512
901349,2023-08-15,"intake","center",536,29,211,332
901349,2023-09-26,"skills","center",552,30,231,364
901350,2023-08-15,"intake","center",657,50,650,487
901350,2023-10-03,"skills","center",687,52,699,522
901362,2023-08-15,"intake","center",638,75,422,477
901362,2023-10-01,"skills","center",642,76,432,489
901365,2023-08-15,"intake","center",573,62,694,604
901365,2023-10-03,"skills","center",575,62,704,618
901375,2023-08-15,"intake","center",536,55,447,494
901375,2023-10-02,"skills","center",535,57,501,542
901376,2023-08-15,"intake","center",328,22,323,463
901376,2023-09-30,"skills","center",335,22,330,468
901382,2023-08-15,"intake","center",406,58,650,615
901382,2023-09-30,"skills","center",411,59,711,670
901385,2023-08-15,"intake","center",694,67,675,639
901385,2023-10-03,"skills","center",686,67,680,659
901393,2023-08-15,"intake","center",546,44,381,534
901393,2023-09-29,"skills","center",581,47,408,563
901394,2023-08-15,"intake","center",671,33,318,703
901394,2023-10-03,"skills","center",690,35,342,759
901402,2023-08-15,"intake","center",562,47,356,609
901402,2023-10-01,"skills","center",567,47,360,620
901410,2023-08-15,"intake","center",642,59,362,528
901410,2023-10-03,"skills","center",660,63,385,559
901414,2023-08-15,"intake","center",669,45,480,779
901414,2023-09-26,"skills","center",684,47,492,797
901431,2023-08-15,"intake","center",657,29,412,589
901431,2023-10-03,"skills","center",658,30,426,599
901432,2023-08-15,"intake","center",511,49,402,684
901432,2023-10-01,"skills","center",526,51,423,726
901433,2023-08-15,"intake","center",569,57,343,656
901433,2023-10-05,"skills","center",598,60,356,710
901438,2023-08-15,"intake","center",642,66,613,495
901438,2023-10-07,"skills","center",650,67,647,513
901501,2023-08-15,"intake","center",634,34,632,716
901501,2023-10-02,"skills","center",637,34,638,727
901507,2023-08-15,"intake","center",510,45,394,354
901507,2023-09-29,"skills","center",517,45,404,363
901510,2023-08-15,"intake","center",672,44,395,481
901510,2023-09-26,"skills","center",698,44,411,494
901515,2023-08-15,"intake","center",590,22,345,610
901515,2023-10-05,"skills","center",616,23,374,672
901517,2023-08-15,"intake","center",540,60,299,497
901517,2023-10-03,"skills","center",562,63,322,526
901519,2023-08-15,"intake","center",582,32,358,595
901519,2023-09-26,"skills","center",582,33,396,643
901521,2023-08-15,"intake","center",628,48,644,590
901521,2023-09-29,"skills","center",655,51,693,627
901524,2023-08-15,"intake","center",485,28,731,579
901524,2023-09-30,"skills","center",514,29,777,614
901529,2023-08-15,"intake","center",482,50,322,714
901529,2023-10-01,"skills","center",494,51,352,771
901530,2023-08-15,"intake","center",565,50,370,419
901530,2023-10-05,"skills","center",578,51,373,425
901532,2023-08-15,"intake","center",729,48,430,564
901532,2023-09-25,"skills","center",762,51,462,598
901539,2023-08-15,"intake","center",540,43,434,591
901539,2023-10-02,"skills","center",551,43,475,657
901568,2023-08-15,"intake","center",716,64,414,661
901568,2023-10-01,"skills","center",745,65,456,735
901575,2023-08-15,"intake","center",493,63,665,380
901575,2023-10-07,"skills","center",496,63,678,392
901576,2023-08-15,"intake","center",541,61,352,765
901579,2023-08-15,"intake","center",460,41,444,210
901579,2023-10-03,"skills","center",483,43,476,225
901581,2023-08-15,"intake","center",608,70,387,703
901581,2023-09-28,"skills","center",612,70,393,717
901582,2023-08-15,"intake","center",705,29,363,353
901582,2023-10-01,"skills","center",721,30,401,380
901587,2023-08-15,"intake","center",410,23,380,576
901587,2023-09-27,"skills","center",411,24,414,626
901595,2023-08-15,"intake","center",652,57,673,382
901595,2023-10-05,"skills","center",662,58,686,394
901596,2023-08-15,"intake","center",589,28,346,606
901596,2023-09-28,"skills","center",596,29,376,667
901603,2023-08-15,"intake","center",597,61,624,653
901603,2023-10-06,"skills","center",612,64,674,704
901615,2023-08-15,"intake","center",713,73,701,478
901615,2023-10-01,"skills","center",706,72,718,485
901617,2023-08-15,"intake","center",584,35,706,319
901617,2023-10-02,"skills","center",582,36,734,328
901627,2023-08-15,"intake","center",612,40,367,664
901627,2023-10-01,"skills","center",628,42,404,714
901633,2023-08-15,"intake","center",530,36,692,520
901633,2023-10-06,"skills","center",549,39,740,545
901648,2023-08-15,"intake","center",660,50,629,670
901648,2023-10-02,"skills","center",667,51,645,685
901659,2023-08-15,"intake","center",645,31,628,430
901659,2023-10-02,"skills","center",656,31,653,442
901660,2023-08-15,"intake","center",722,48,652,377
901660,2023-10-03,"skills","center",733,50,717,411
901664,2023-08-15,"intake","center",580,38,603,211
901664,2023-10-02,"skills","center",585,39,663,233
901668,2023-08-15,"intake","center",529,48,620,475
901668,2023-09-30,"skills","center",540,49,688,524
901669,2023-08-15,"intake","center",684,25,577,452
901669,2023-09-28,"skills","center",732,26,617,480
901675,2023-08-15,"intake","center",616,60,526,668
901675,2023-09-30,"skills","center",620,61,552,696
901678,2023-08-15,"intake","center",559,36,315,402
901678,2023-09-30,"skills","center",577,37,351,434
901680,2023-08-15,"intake","center",643,29,512,456
901680,2023-09-27,"skills","center",651,30,522,474
901681,2023-08-15,"intake","center",536,64,597,460
901681,2023-09-28,"skills","center",567,66,634,498
901682,2023-08-15,"intake","center",606,30,415,611
901682,2023-10-04,"skills","center",632,32,461,674
901688,2023-08-15,"intake","center",596,25,381,560
901688,2023-10-04,"skills","center",627,26,413,613
901700,2023-08-15,"intake","center",494,29,449,404
901700,2023-10-01,"skills","center",511,30,465,413
901702,2023-08-15,"intake","center",676,84,497,451
901702,2023-10-01,"skills","center",683,86,511,466
901705,2023-08-15,"intake","center",595,52,592,326
901705,2023-10-05,"skills","center",626,55,627,352
901711,2023-08-15,"intake","center",653,65,633,436
901711,2023-09-28,"skills","center",655,65,647,431
901719,2023-08-15,"intake","center",417,34,396,645
901719,2023-09-28,"skills","center",415,34,402,658
901722,2023-08-15,"intake","center",649,62,599,643
901722,2023-10-05,"skills","center",675,65,637,678
901728,2023-08-15,"intake","center",553,80,393,425
901728,2023-09-30,"skills","center",564,81,411,432
901732,2023-08-15,"intake","center",593,49,396,531
901732,2023-09-29,"skills","center",623,52,427,563
901758,2023-08-15,"intake","center",640,35,291,579
901758,2023-09-24,"skills","center",664,37,305,618
901759,2023-08-15,"intake","center",662,68,428,780
901770,2023-08-15,"intake","center",423,55,491,501
901770,2023-10-02,"skills","center",431,57,542,538
901778,2023-08-15,"intake","center",774,41,592,509
901778,2023-10-01,"skills","center",800,42,621,534
901780,2023-08-15,"intake","center",607,74,719,601
901780,2023-09-28,"skills","center",619,80,789,644
901782,2023-08-15,"intake","center",538,55,620,596
901782,2023-10-03,"skills","center",545,57,629,605
901786,2023-08-15,"intake","center",587,24,421,334
901786,2023-10-07,"skills","center",575,24,426,343
901790,2023-08-15,"intake","center",678,59,465,527
901790,2023-09-27,"skills","center",677,59,478,540
901796,2023-08-15,"intake","center",538,28,711,536
901796,2023-09-28,"skills","center",552,29,729,545
901808,2023-08-15,"intake","center",456,45,327,526
901808,2023-09-27,"skills","center",475,46,360,574
901813,2023-08-15,"intake","center",766,36,613,597
901813,2023-10-03,"skills","center",800,38,655,625
901818,2023-08-15,"intake","center",611,56,304,701
901818,2023-09-28,"skills","center",641,59,329,744
901819,2023-08-15,"intake","center",648,50,244,620
901819,2023-09-29,"skills","center",666,52,263,668
901825,2023-08-15,"intake","center",662,28,316,340
901825,2023-09-30,"skills","center",679,29,347,376
901827,2023-08-15,"intake","center",640,41,667,678
901827,2023-09-30,"skills","center",660,42,726,734
901831,2023-08-15,"intake","center",793,58,424,728
901838,2023-08-15,"intake","center",757,54,346,479
901838,2023-10-06,"skills","center",774,56,358,484
901841,2023-08-15,"intake","center",544,63,552,577
901841,2023-09-27,"skills","center",549,63,572,587
901847,2023-08-15,"intake","center",702,54,719,687
901847,2023-09-28,"skills","center",712,55,747,701
901852,2023-08-15,"intake","center",632,61,440,399
901852,2023-09-29,"skills","center",641,62,452,405
901854,2023-08-15,"intake","center",538,55,474,634
901854,2023-09-24,"skills","center",556,56,513,677
901857,2023-08-15,"intake","center",511,76,337,512
901857,2023-10-03,"skills","center",536,81,361,544
901867,2023-08-15,"intake","center",623,15,319,513
901867,2023-09-30,"skills","center",651,16,339,558
901869,2023-08-15,"intake","center",559,45,323,320
901869,2023-09-27,"skills","center",569,46,354,361
901873,2023-08-15,"intake","center",728,57,549,694
901873,2023-10-01,"skills","center",757,59,590,744
901889,2023-08-15,"intake","center",543,35,501,554
901889,2023-10-03,"skills","center",564,36,550,596
901897,2023-08-15,"intake","center",674,42,484,517
901897,2023-10-07,"skills","center",682,42,496,531
901913,2023-08-15,"intake","center",669,60,358,711
901913,2023-10-01,"skills","center",682,60,367,735
901917,2023-08-15,"intake","center",709,58,425,553
901917,2023-09-28,"skills","center",726,60,441,568
901936,2023-08-15,"intake","center",619,81,746,750
901936,2023-10-03,"skills","center",627,81,757,759
901945,2023-08-15,"intake","center",712,68,696,518
901945,2023-10-03,"skills","center",742,72,739,542
901954,2023-08-15,"intake","center",475,20,343,551
901954,2023-09-26,"skills","center",484,21,378,610
901960,2023-08-15,"intake","center",619,48,701,615
901960,2023-09-27,"skills","center",615,48,716,636
901964,2023-08-15,"intake","center",473,43,564,651
901964,2023-10-05,"skills","center",474,43,578,665
